title,feed_name,link,hit_probability,expected_points,recommendation
"LLM predictions for 2026, shared with Oxide and Friends",Simon Willison's Weblog,https://simonwillison.net/2026/Jan/8/llm-predictions-for-2026/#atom-everything,0.8735837803566828,91.79999055127422,Excellent
How Google Got Its Groove Back and Edged Ahead of OpenAI,Simon Willison's Weblog,https://simonwillison.net/2026/Jan/8/how-google-got-its-groove-back/#atom-everything,0.8387876536389964,81.35916786062889,Excellent
Cas12a3 CRISPR System Targets tRNA Without Destroying Host Cell,GEN – Genetic Engineering and Biotechnology News,https://www.genengnews.com/topics/genome-editing/cas12a3-crispr-system-targets-trna-without-destroying-host-cell/,0.8142557576980672,66.5154772671922,Excellent
Largest NHS Liver Study Targets Early Disease Detection,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/largest-nhs-liver-study-targets-early-disease-detection-2026a10000ml?src=rss,0.7720916657053561,61.00622115626582,Excellent
Drive 1024×600 Pixels via I2C with an ATtiny85,Blog – Hackaday,https://hackaday.com/2026/01/08/drive-1024x600-pixels-via-i2c-with-an-attiny85/,0.750047721105662,52.38198604049754,Excellent
Cardiac Transplant Not Tied to Poor Kidney Surgery Outcomes,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/cardiac-transplant-not-tied-poor-kidney-surgery-outcomes-2026a10000bv?src=rss,0.737987401121081,50.186787950244494,Excellent
Servier launches VC unit focused on European biotech startups,Endpoints News,https://endpoints.news/servier-launches-vc-unit-focused-on-european-biotech-startups/,0.7285880227858746,53.452167869335995,Excellent
"New comment by kentonv in ""The Jeff Dean Facts""",Hacker News: Best Comments,https://news.ycombinator.com/item?id=46541625,0.7009538858791846,48.251597196084084,Excellent
Wholesale Used Car Prices Increased Slightly in December; Up 0.4% Year-over-year,Calculated Risk,http://www.calculatedriskblog.com/2026/01/wholesale-used-car-prices-increased.html,0.6861787719372636,39.176414679733874,Good
Intel Launches Core Ultra Series 3 Mobile Processors – Panther Lake Roars to Life,ServeTheHome,https://www.servethehome.com/intel-launches-core-ultra-series-3-mobile-processors-panther-lake-roars-to-life/,0.6848927847574203,52.49730406936895,Good
Dialogue Between a Developer and a Kid,Lobsters,https://riggraz.dev/dialogue-developer.html,0.6773554937178168,71.71098225848435,Good
XRP ETFs see $40M of outflows after eight-week run of inflows,"CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/markets/2026/01/08/xrp-etfs-finally-see-outflows-after-record-run-that-beat-bitcoin-and-ether-inflows,0.6771809495307394,41.50850770847161,Good
Australian dollar crashes into new world order,MacroBusiness,https://www.macrobusiness.com.au/2026/01/australian-dollar-crashes-into-new-world-order/,0.676225178841573,57.41069375628569,Good
What Happened To WebAssembly,Lobsters,https://emnudge.dev/blog/what-happened-to-webassembly/,0.6731360785580212,53.02416466142484,Good
Samsung Galaxy Tab A11+ is now available for $250 and up,Liliputing,https://liliputing.com/samsung-galaxy-tab-a11-is-now-available-for-250-and-up/,0.6698569059508227,50.38869273728592,Good
"Google pushing Gemini into Gmail, but you can turn it off",The Register,https://go.theregister.com/feed/www.theregister.com/2026/01/08/google_gemini_gmail/,0.6650585529431772,65.6314219465174,Good
The HackerNoon Newsletter: CSS is Only Hard Because You’re Doing Too Much (1/8/2026),HackerNoon,https://hackernoon.com/1-8-2026-newsletter?source=rss,0.6640510354475837,57.38091002681436,Good
Stop deleting apps—get 1TB of lifetime cloud storage for 57% off,Boing Boing,https://boingboing.net/2026/01/08/stop-deleting-apps-get-1tb-of-lifetime-cloud-storage-for-57-off.html,0.6636833662046088,67.04137228959523,Good
Thursday assorted links,Marginal REVOLUTION,https://marginalrevolution.com/marginalrevolution/2026/01/thursday-assorted-links-535.html?utm_source=rss&utm_medium=rss&utm_campaign=thursday-assorted-links-535,0.6607630464608087,51.22952785449401,Good
How I program in AWK,Lobsters,https://maximullaris.com/program-in-awk.html,0.6574187623596504,53.75808328055402,Good
Obesity biotech Alveus gains $160M for push into MariTide's backyard,Endpoints News,https://endpoints.news/obesity-biotech-alveus-gains-150m-for-push-into-maritides-backyard/,0.6573171270713476,55.88721297200365,Good
ONEXGPU 3 graphics dock with Radeon RX 9070 XT GPU supports OCuLink and USB4 connections,Liliputing,https://liliputing.com/onexgpu-3-graphics-dock-with-radeon-rx-9070-xt-gpu-supports-oculink-and-usb4-connections/,0.6517922383505063,63.11540288975118,Good
Introduction to SIMD programming in pure Rust,Lobsters,https://kerkour.com/introduction-rust-simd,0.6516108461424712,66.47099343994223,Good
AOSP on a diet plan as Google halves Android code drops,The Register,https://go.theregister.com/feed/www.theregister.com/2026/01/08/google_aosp_changes/,0.6494380375087336,46.72668687257654,Good
FDA rejects Vanda’s jet lag drug following yearslong dispute,Endpoints News,https://endpoints.news/fda-rejects-vandas-jet-lag-drug-following-yearslong-dispute/,0.6400145857711299,38.03474087817622,Good
"Tiny arcade games feature classic Sega, Capcom and Namco titles",Boing Boing,https://boingboing.net/2026/01/08/tiny-arcade-games-feature-classic-sega-capcom-and-namco-titles.html,0.6356468853764208,38.207011213728045,Good
When the Beatles admitted to drugging their engineer and producer,Boing Boing,https://boingboing.net/2026/01/08/when-the-beatles-admitted-to-drugging-their-engineer-and-producer.html,0.6348281688224097,38.54434906954915,Good
Intel Wildcat Lake 6-core chips for budget devices will replace Alder Lake-N and Twin Lake (eventually),Liliputing,https://liliputing.com/intel-wildcat-lake-6-core-chips-for-budget-devices-will-replace-alder-lake-n-and-twin-lake-eventually/,0.6336708711403809,38.72689913858414,Good
French biotech Enodia gets €20.7M aided by Pfizer for protein degrader work,Endpoints News,https://endpoints.news/french-biotech-enodia-gets-e20-7m-aided-by-pfizer-for-protein-degrader-work/,0.6312206706072429,40.420913858741294,Good
Government accused of dragging its heels on deepfake law over Grok AI,BBC News,https://www.bbc.com/news/articles/cp9jxvx0zjmo?at_medium=RSS&at_campaign=rss,0.6241424895527994,59.857251892496414,Good
HHS loses bid to suspend court block on 340B rebate pilot,Endpoints News,https://endpoints.news/hhs-loses-bid-to-suspend-court-block-on-340b-rebate-pilot/,0.6224017474446857,45.40885300768375,Good
GIP Reduces Meal Peaks but Not Hypoglycaemia in T1D,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/gip-reduces-meal-peaks-not-hypoglycaemia-t1d-2026a10000bx?src=rss,0.6216492619058107,52.75492469348663,Good
